Relative Time	Peak at 1100	Peak at 1125	Peak at 1650	Annotations
03:42:26	-0.0101832	-0.0039303	-0.00741672	
03:42:56	-0.0100202	-0.00128788	-0.00872725	
03:43:26	-0.00419084	-0.000501267	-0.011994	
03:43:56	-0.00772303	-0.00195433	-0.0198161	
03:44:26	-0.00298478	0.00138428	-0.011344	
03:44:55	-0.0100284	-0.00379927	-0.0281782	
03:45:26	-0.0100851	-0.0038428	-0.00972903	
03:45:56	-0.00738839	-0.00272217	-0.011574	
03:46:26	-0.0132114	-0.0015341	-0.0137488	
03:46:56	-0.00658762	-0.00135076	-0.0284201	
03:47:26	-0.00648265	-0.0020916	-0.00704681	
03:47:56	0.000455232	0.0129125	-0.008939	
03:48:26	0.0723551	0.128666	0.0127891	
03:48:56	0.142215	0.240706	0.0479408	
03:49:26	0.066313	0.108181	-0.0125838	
03:49:56	-0.000805328	0.0153448	-0.0139229	
03:50:26	-0.00374306	0.00193009	-0.0135926	
03:50:56	-0.00933185	-0.00248206	-0.0182619	
03:51:26	-0.00502067	0.000112096	-0.0146084	
03:51:56	-0.0171796	-0.00436408	-0.0156932	
03:52:26	-0.00880133	-0.000358114	-0.0241025	
03:52:56	-0.0150243	-0.000798015	-0.010335	
03:53:26	-0.0112456	-0.00389753	-0.0307	
03:53:56	-0.0146163	-0.00177804	-0.0140612	
03:54:26	-0.0103733	-0.00426273	-0.0215941	
03:54:56	-0.0126495	-0.0070014	-0.0223092	
03:55:26	-0.0124814	-0.00366986	-0.0125688	
03:55:56	-0.0171997	-0.00103993	-0.0229257	
03:56:26	-0.00991157	-0.00199839	-0.0127552	
03:56:56	-0.0165424	-0.00296841	-0.0110293	
03:57:26	-0.0161453	-0.000648752	-0.012095	
03:57:56	-0.0138315	-0.00351953	-0.0257994	
03:58:26	-0.0129388	-0.00535113	-0.0222452	
03:58:56	-0.0100879	-0.000829581	-0.0110661	
03:59:26	-0.0134508	-0.00476228	-0.0237346	
03:59:56	-0.00953226	0.000598789	-0.0226414	
04:00:26	-0.0108737	-0.00196837	-0.00866882	
04:00:56	-0.0183144	-0.00610154	-0.0201881	
04:01:26	-0.0136435	-0.00272628	-0.0168256	
04:01:56	-0.0105545	-0.00426165	-0.013134	
04:02:26	-0.0187955	-0.00705848	-0.0178693	
04:02:56	-0.0166379	-0.00247132	-0.0229049	
04:03:26	-0.0148055	0.000868663	-0.0177248	
04:03:57	-0.010983	-0.00237102	-0.0155465	
04:04:26	-0.00988215	-0.00176174	-0.0198905	
04:04:56	-0.00695748	0.00654658	-0.018281	
04:05:26	0.0545487	0.0940229	0.00765804	
04:05:56	0.124784	0.20443	0.0528106	
04:06:26	0.0630845	0.103146	0.0134841	
04:06:56	0.00592556	0.01658	-0.00681436	
04:07:26	-0.0102039	-0.00106193	-0.0192911	
04:07:56	-0.0119454	-0.000744977	-0.0162442	
04:08:27	-0.00911921	-0.00111631	-0.0220856	
04:08:56	-0.0153925	-0.00612251	-0.0112335	
04:09:26	-0.00919044	-0.000835194	-0.0218478	
04:09:56	-0.0102478	-0.00233686	-0.0231252	
04:10:26	-0.017388	-0.00704033	-0.0203634	
04:10:56	-0.0203879	-0.00796863	-0.0239409	
04:11:26	-0.018784	-0.00253609	-0.0333741	
04:11:56	-0.0171004	-0.00459299	-0.00225169	
04:12:26	-0.0116559	-0.00507726	-0.0126434	
