Relative Time	Peak at 1591 cm-1	Annotations
06:39:11	0.0615244	
06:39:26	0.0587449	
06:39:41	0.0440947	
06:39:56	0.0153198	
06:40:11	0.0131378	
06:40:26	0.0173761	
06:40:41	0.0121719	
06:40:56	0.0151834	
06:41:11	0.0143616	
06:41:26	0.0156597	
06:41:40	0.0142659	
06:41:54	0.0142884	
06:42:10	0.0102923	
06:42:25	0.0138689	
06:42:40	0.0143799	
06:42:55	0.017575	
06:43:11	0.013615	
06:43:26	0.0127258	
06:43:41	0.0145311	
06:43:56	0.0189102	
06:44:10	0.0165345	
06:44:26	0.0562317	
06:44:41	0.0740891	
06:44:56	0.0522469	
06:45:11	0.0568399	
06:45:26	0.0530331	
06:45:41	0.0532349	
06:45:56	0.0551395	
06:46:11	0.0535156	
06:46:26	0.0515186	
06:46:41	0.0517223	
06:46:56	0.0545817	
06:47:11	0.0514172	
06:47:26	0.0517119	
06:47:41	0.0411381	
06:47:56	0.0144331	
06:48:11	0.0149328	
06:48:26	0.0154682	
06:48:41	0.0143794	
06:48:56	0.0145868	
06:49:11	0.0152066	
06:49:26	0.0169811	
06:49:40	0.012898	
06:49:55	0.0167569	
06:50:10	0.0152926	
06:50:26	0.0140966	
06:50:41	0.0149461	
06:50:56	0.0152522	
06:51:11	0.0162469	
06:51:26	0.0130991	
06:51:41	0.0148848	
06:51:56	0.0161108	
06:52:11	0.0250823	
06:52:26	0.0609744	
06:52:41	0.0571636	
06:52:56	0.0434617	
06:53:11	0.0458163	
06:53:25	0.0452423	
06:53:41	0.0449207	
06:53:56	0.0449049	
06:54:11	0.0420016	
06:54:26	0.0430272	
06:54:41	0.045924	
06:54:56	0.0441784	
06:55:11	0.0444398	
06:55:26	0.0426795	
06:55:41	0.0142983	
06:55:56	0.0102965	
06:56:11	0.0139406	
06:56:25	0.0144788	
06:56:40	0.0130354	
06:56:55	0.0138217	
06:57:10	0.0149018	
06:57:26	0.0150821	
06:57:41	0.0144282	
06:57:56	0.0139323	
