Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
02:42:25	-0.00344094	-0.0021547	0.0441651	0.106158
02:42:55	0.00273591	0.348667	0.0193807	0.38715
02:43:25	0.0284912	1.66101	0.0466471	1.45095
02:43:56	0.0397842	1.95607	0.112899	1.66326
02:44:25	0.0292183	1.29398	0.094998	1.12638
02:44:55	0.00854023	0.651818	0.0646928	0.625848
02:45:26	0.0042431	0.29474	0.054691	0.338676
02:45:56	0.00184272	0.155231	0.0482833	0.229983
02:46:26	0.000850468	0.0757125	0.0451641	0.150057
02:46:56	-0.00152859	-0.0019926	0.0453661	0.103143
02:47:26	0.000219457	-0.0165662	0.0463522	0.0844496
02:47:56	-0.00738651	-0.0184091	0.0470844	0.0871084
02:48:26	-0.000634539	-0.0124162	0.0481051	0.0998659
02:48:56	-0.00332978	0.202311	0.016281	0.276016
02:49:26	0.015869	1.2774	-0.0165632	1.15147
02:49:56	0.028068	1.81969	0.0313281	1.58084
02:50:26	0.0155294	1.25226	0.0396476	1.11671
02:50:56	0.00779684	0.61658	0.0344173	0.603645
02:51:26	0.00380618	0.279843	0.0371348	0.332041
02:51:56	-0.00219351	0.148752	0.0341424	0.226514
02:52:26	-0.000761591	0.0682991	0.0417677	0.158267
02:52:56	-0.000670726	-0.00303724	0.0401872	0.0981357
02:53:26	-0.00191199	-0.0132345	0.0494594	0.0912935
02:53:56	-0.00437002	-0.0158655	0.0454583	0.0986998
02:54:26	-0.00286969	0.00462252	0.0416397	0.106668
02:54:56	0.00141773	0.404602	-0.0107226	0.441505
02:55:26	0.00720122	1.47661	-0.0712414	1.33966
02:55:56	0.0120192	1.49268	-0.0313529	1.34259
02:56:25	0.00713208	0.892814	-0.00204164	0.834908
02:56:55	0.00100234	0.41099	0.0197757	0.442436
02:57:26	-0.00320271	0.198432	0.0283073	0.268936
02:57:56	-0.00194274	0.107155	0.0356409	0.203497
02:58:26	-0.00287668	0.0171354	0.0429354	0.116369
02:58:56	-0.00320256	-0.0154598	0.0452788	0.0855543
02:59:25	-0.00310227	-0.0156009	0.0486051	0.0925135
02:59:55	0.000486647	-0.0201492	0.0479722	0.0819542
03:00:25	-0.00475493	-0.00668316	0.0442737	0.083078
03:00:55	-3.76295e-05	0.260613	-0.00229658	0.321877
03:01:26	-0.000358764	1.19103	-0.108147	1.12379
03:01:55	-0.00126421	1.34695	-0.0977718	1.25443
03:02:26	-0.00236229	0.852857	-0.0436056	0.819177
03:02:56	-0.00274753	0.38648	-0.00142019	0.4271
03:03:25	-0.00134215	0.184373	0.0193187	0.260085
03:03:56	-0.00213434	0.103845	0.0316118	0.196284
03:04:25	-0.00302606	0.0161142	0.0403439	0.120452
03:04:56	-0.00268372	-0.0118731	0.043883	0.105088
03:05:26	-0.00406538	-0.0164851	0.0477293	0.0866193
03:05:56	-0.00415241	-0.020579	0.0460075	0.0928243
03:06:26	-0.00406758	0.011264	0.0564063	0.123388
03:06:55	0.0414431	0.582431	0.278645	0.520833
03:07:25	0.174109	1.90616	0.926463	1.42297
03:07:55	0.168192	1.72649	0.886392	1.28593
03:08:25	0.0899187	0.954054	0.515927	0.750746
03:08:56	0.0394842	0.431779	0.261325	0.392681
03:09:26	0.0192295	0.219911	0.163372	0.246092
03:09:56	0.00662521	0.103935	0.107513	0.182385
03:10:25	0.000526566	0.00281693	0.0593873	0.10141
03:10:56	-0.00393239	-0.0150634	0.0565488	0.0953315
03:11:26	-0.00387274	-0.0187381	0.0507112	0.0944715
03:11:56	-0.0018986	-0.0177683	0.0534225	0.0828646
03:12:26	0.000206945	0.0649354	0.0547692	0.137826
03:12:56	0.05523	0.846903	0.308537	0.694476
03:13:26	0.154363	1.7708	0.754034	1.30622
03:13:56	0.125912	1.3606	0.631559	1.03394
03:14:26	0.0599165	0.705477	0.345313	0.587618
03:14:56	0.0252475	0.32689	0.185295	0.322081
03:15:26	0.0135781	0.163503	0.120303	0.218975
03:15:56	0.00291106	0.0761045	0.0804489	0.15923
03:16:26	-0.000282038	-0.00251054	0.0523287	0.101571
03:16:56	-0.00220099	-0.0131251	0.0529588	0.0921224
03:17:26	-0.00512388	-0.0168124	0.0514109	0.0848377
03:17:56	-0.00347436	-0.000883957	0.0464308	0.108805
03:18:26	0.0227546	0.370131	0.136038	0.352585
03:18:56	0.114372	1.41449	0.544603	1.07699
03:19:26	0.125662	1.40663	0.624619	1.0593
03:19:56	0.0719944	0.815723	0.380904	0.643063
03:20:26	0.0320289	0.371339	0.19332	0.357156
03:20:56	0.0137833	0.179634	0.12299	0.225426
03:21:26	0.00433562	0.0981974	0.0833807	0.162406
03:21:56	0.00233755	0.00519493	0.0578854	0.0949952
03:22:26	-0.00126346	-0.0145683	0.0497208	0.0892496
03:22:56	-0.00251956	-0.0180655	0.0452537	0.0831457
03:23:26	-0.00482329	-0.0237481	0.048716	0.0934038
03:23:56	-0.00226045	-4.252e-05	0.0452673	0.103023
03:24:26	0.0189019	0.352506	0.130295	0.352519
03:24:56	0.0994791	1.26338	0.481471	0.958495
03:25:26	0.107784	1.21619	0.527829	0.905255
03:25:56	0.0571935	0.681509	0.31534	0.54917
03:26:26	0.0234924	0.305105	0.158384	0.302178
03:26:55	0.00952426	0.155202	0.106755	0.202069
03:27:25	0.00406113	0.0754673	0.0715181	0.147013
03:27:55	-0.00246376	-0.00300851	0.0469184	0.0906771
03:28:25	-0.00311739	-0.0193492	0.0404877	0.0826484
03:28:56	-0.00523571	-0.0224836	0.0463384	0.086137
03:29:25	-0.00119195	-0.0210167	0.0449895	0.0837728
03:29:56	-0.00175594	0.0141675	0.0444689	0.102123
03:30:25	0.0282414	0.443389	0.157669	0.406329
03:30:55	0.0962058	1.17569	0.450039	0.886557
03:31:25	0.0834209	0.957605	0.405443	0.735467
03:31:56	0.0376402	0.48904	0.225255	0.42633
03:32:25	0.0150964	0.21989	0.121537	0.250283
